family	case	classification	fixture	upstream_commit	upstream_path	upstream_case	sha256	expected_semantics	diagnostic_line	diagnostic_column
class	constructor	supported	compatibility/conformance/class/constructor.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagrams/class/parser/class.spec.js	should work with a constructor property	ba6f7765b9ce6acf7bdcbe6b0e4200311581d6214526be948e67f39d805f2d2a	class|constructor:constructor::|	-	-
class	namespace-constructor	supported	compatibility/conformance/class/namespace-constructor.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagrams/class/parser/class.spec.js	should work with a constructor property	64dd6d963bb2401184b98176f47f7e4bb9c9a5bf3f5c96939ec3479e70a42d27	class|A:A::constructor|	-	-
class	namespace-proto	supported	compatibility/conformance/class/namespace-proto.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagrams/class/parser/class.spec.js	should work with a __proto__ property	6062a3f0137cc72d4966965c5307fdc9a88fd17a2886269fe5ef2a32f16286ad	class|A:A::__proto__|	-	-
class	prototype	supported	compatibility/conformance/class/prototype.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagrams/class/parser/class.spec.js	should work with a __proto__ property	bf53e8e81ab374212c2f7c0ae3dc955575b4af4107be0f4e439efaf263c81cf4	class|__proto__:__proto__::|	-	-
eventmodeling	data-block-deferred	deferred	compatibility/conformance/eventmodeling/data-block-deferred.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	cypress/integration/rendering/eventmodeling/eventmodeling.spec.ts	renders with data block reference	544dd3d3df331679ee12ec0ccc31f8b185bfadb8f8903402859b4c2677251da5	-	4	1
eventmodeling	state-view	supported	compatibility/conformance/eventmodeling/state-view.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	cypress/integration/rendering/eventmodeling/eventmodeling.spec.ts	renders a state view pattern	4a3476697c346dd1761b96ff99e052fe1b3fc188e01cb59d97325618615d351d	eventmodeling|01:UI:CartScreen,02:COMMAND:AddItem,03:EVENT:ItemAdded|01>02,02>03	-	-
flowchart	arrow-point	supported	compatibility/conformance/flowchart/arrow-point.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagrams/flowchart/parser/flow-arrows.spec.js	should handle a nodes and edges	12f76c8e990e4f517436812d8a00d130a4d8035847247f35821dc635a950d9c5	flowchart|TD|A:A,B:B|A>B	-	-
flowchart	malformed-edge	unsupported	compatibility/conformance/flowchart/malformed-edge.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagram.spec.ts	should throw the right error for incorrect diagram / flowchart	c5bf43ebfbca472c813da83c8fee8ddec4d1e58bc44bf51c9cb48345258c3a29	-	1	11
pie	show-data	supported	compatibility/conformance/pie/show-data.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagrams/pie/pie.spec.ts	should handle simple pie with showData	f47471e3c2afde53484f702abd1c0d86c699a68b88dba5c395c76c4ace59228d	pie|true||ash:60.0,bat:40.0	-	-
pie	simple	supported	compatibility/conformance/pie/simple.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagrams/pie/pie.spec.ts	should handle very simple pie	6946d2726e117f6406decd981f7a6862efa0e93cb9e92c707197efc92b8abc8d	pie|false||ash:100.0	-	-
sequence	malformed-arrow	unsupported	compatibility/conformance/sequence/malformed-arrow.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	packages/mermaid/src/diagram.spec.ts	should throw the right error for incorrect diagram / sequence	5692c3b38ed01c13d0a5a2827bd9db5e603c3f9dd3cb62816eba343d09221d1b	-	1	18
sequence	simple-message	supported	compatibility/conformance/sequence/simple-message.mmd	04ee3364045d6573f84034d3c9368cc50233a92f	cypress/integration/rendering/sequence/sequencediagram.spec.js	should render bidirectional arrows	199fe23c9bf29b3dce6076e87e6de1a71a73e04d5c2551ec4fe88ef19c08a825	sequence|John:John,Alice:Alice|John>Alice:SOLID:FILLED:Still works	-	-
